"","BOROUGH","NEIGHBORHOOD","BUILDING.CLASS.CATEGORY","TAX.CLASS.AT.PRESENT","BLOCK","LOT","EASE.MENT","BUILDING.CLASS.AT.PRESENT","ADDRESS","APARTMENT.NUMBER","ZIP.CODE","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","TOTAL.UNITS","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","TAX.CLASS.AT.TIME.OF.SALE","BUILDING.CLASS.AT.TIME.OF.SALE","SALE.DATE","high.end"
"3719",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",537,1002,NA,"R9","552 LA GUARDIA PL, 7","",10012,0,0,0,"0","0",1981,2,"R9","02/01/2019","0"
"3720",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",542,1002,NA,"R9","1 MINETTA STREET, 5A","",10012,0,0,0,"0","0",1928,2,"R9","07/11/2019","0"
"3721",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",542,1002,NA,"R9","1 MINETTA STREET, 5B","",10012,0,0,0,"0","0",1928,2,"R9","11/30/2018","0"
"3722",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",544,1102,NA,"R9","443 LAFAYETTE, 5B","",10003,0,0,0,"0","0",0,2,"R9","06/03/2019","1"
"3723",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",544,1102,NA,"R9","445 LAFAYETTE STREET, 8A","",10003,0,0,0,"0","0",0,2,"R9","04/03/2019","1"
"3724",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",544,1102,NA,"R9","445 LAFAYETTE STREET, 12B","",10003,0,0,0,"0","0",0,2,"R9","01/22/2019","0"
"3725",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",544,1102,NA,"R9","443 LAFAYETTE, 5B","",10003,0,0,0,"0","0",0,2,"R9","11/14/2018","0"
"3726",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",548,1003,NA,"R9","60 EAST 8TH STREET, 28L","",10003,0,0,0,"0","0",1965,2,"R9","09/23/2019","0"
"3727",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",548,1003,NA,"R9","60 EAST 8TH STREET, 34C","",10003,0,0,0,"0","0",1965,2,"R9","09/06/2019","0"
"3728",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",548,1003,NA,"R9","60 EAST 8TH STREET, 16F","",10003,0,0,0,"0","0",1965,2,"R9","07/25/2019","0"
"3729",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",548,1003,NA,"R9","60 EAST 8TH STREET, 28D","",10003,0,0,0,"0","0",1965,2,"R9","07/17/2019","0"
"3731",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",548,1003,NA,"R9","60 EAST 8TH STREET, 20E","",10003,0,0,0,"0","0",1965,2,"R9","05/08/2019","1"
"3732",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",548,1003,NA,"R9","60 EAST 8TH STREET, 31A","",10003,0,0,0,"0","0",1965,2,"R9","04/30/2019","0"
"3734",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",548,1003,NA,"R9","60 EAST 8TH STREET, 27M","",10003,0,0,0,"0","0",1965,2,"R9","03/14/2019","0"
"3735",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",548,1003,NA,"R9","60 EAST 8TH STREET, 15A","",10003,0,0,0,"0","0",1965,2,"R9","02/26/2019","0"
"3737",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",548,1003,NA,"R9","60 EAST 8TH STREET, 7M","",10003,0,0,0,"0","0",1965,2,"R9","02/07/2019","0"
"3740",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",548,1003,NA,"R9","60 EAST 8TH STREET, 22D","",10003,0,0,0,"0","0",1965,2,"R9","01/17/2019","0"
"3742",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",548,1003,NA,"R9","60 EAST 8TH STREET, 8P","",10003,0,0,0,"0","0",1965,2,"R9","12/06/2018","0"
"3743",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",548,1003,NA,"R9","60 EAST 8TH STREET, 16A","",10003,0,0,0,"0","0",1965,2,"R9","10/01/2018","0"
"3744",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",557,1002,NA,"R9","808 BROADWAY, 5K","",10003,0,0,0,"0","0",1981,2,"R9","12/03/2018","0"
"3745",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",560,1003,NA,"R9","30 EAST 9TH STREET, 3","",10003,0,0,0,"0","0",1955,2,"R9","09/24/2019","0"
"3746",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",560,1003,NA,"R9","30 EAST 9TH STREET, 3","",10003,0,0,0,"0","0",1955,2,"R9","09/05/2019","0"
"3747",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",560,1003,NA,"R9","30 EAST 9TH STREET, 3","",10003,0,0,0,"0","0",1955,2,"R9","07/30/2019","0"
"3748",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",560,1003,NA,"R9","30 EAST 9TH STREET, 6D","",10003,0,0,0,"0","0",1955,2,"R9","05/16/2019","0"
"3749",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",560,1003,NA,"R9","30 EAST 9TH STREET, 5J","",10003,0,0,0,"0","0",1955,2,"R9","04/01/2019","0"
"3750",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",560,1003,NA,"R9","60 EAST 9TH STREET, 324","",10003,0,0,0,"0","0",1955,2,"R9","03/14/2019","0"
"3751",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",560,1003,NA,"R9","30 EAST 9TH STREET, 3GG","",10003,0,0,0,"0","0",1955,2,"R9","02/22/2019","0"
"3752",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",560,1003,NA,"R9","30 EAST 9TH STREET, 5M","",10003,0,0,0,"0","0",1955,2,"R9","10/12/2018","0"
"3753",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",560,1103,NA,"R9","40 EAST 9TH STREET, 3","",10003,0,0,0,"0","0",1959,2,"R9","08/23/2019","0"
"3755",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",560,1103,NA,"R9","40 EAST 9TH STREET, 5J","",10003,0,0,0,"0","0",1959,2,"R9","06/13/2019","1"
"3756",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",560,1103,NA,"R9","40 EAST 9TH STREET, 8G","",10003,0,0,0,"0","0",1959,2,"R9","06/05/2019","0"
"3757",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",560,1103,NA,"R9","40 EAST 9TH STREET, 4F","",10003,0,0,0,"0","0",1959,2,"R9","05/30/2019","0"
"3758",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",560,1103,NA,"R9","40 EAST 9TH STREET, 14C","",10003,0,0,0,"0","0",1959,2,"R9","04/11/2019","0"
"3759",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",560,1103,NA,"R9","40 EAST 9TH STREET, 10E","",10003,0,0,0,"0","0",1959,2,"R9","11/12/2018","0"
"3760",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",560,1203,NA,"R9","60 EAST 9TH STREET, 310","",10003,0,0,0,"0","0",1954,2,"R9","08/07/2019","0"
"3761",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",560,1203,NA,"R9","60 EAST 9TH STREET, 424","",10003,0,0,0,"0","0",1954,2,"R9","07/31/2019","0"
"3762",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",560,1203,NA,"R9","60 EAST 9TH STREET, 232","",10003,0,0,0,"0","0",1954,2,"R9","07/08/2019","0"
"3763",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",560,1203,NA,"R9","60 EAST 9TH STREET, 633","",10003,0,0,0,"0","0",1954,2,"R9","06/12/2019","0"
"3765",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",560,1203,NA,"R9","60 EAST 9TH STREET, 530","",10003,0,0,0,"0","0",1954,2,"R9","05/29/2019","0"
"3766",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",560,1203,NA,"R9","60 EAST 9TH STREET, 331","",10003,0,0,0,"0","0",1954,2,"R9","05/01/2019","0"
"3769",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",560,1203,NA,"R9","60 EAST 9TH STREET, 315","",10003,0,0,0,"0","0",1954,2,"R9","01/07/2019","0"
"3770",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",560,1203,NA,"R9","60 EAST 9TH STREET, 328","",10003,0,0,0,"0","0",1954,2,"R9","12/11/2018","0"
"3772",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",560,1203,NA,"R9","60 EAST 9TH STREET, 417","",10003,0,0,0,"0","0",1954,2,"R9","10/30/2018","0"
"3773",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",561,1003,NA,"R9","63 EAST 9TH STREET, 10A","",10003,0,0,0,"0","0",1955,2,"R9","09/11/2019","0"
"3774",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",561,1003,NA,"R9","63 EAST 9TH, 3L","",10003,0,0,0,"0","0",1955,2,"R9","09/10/2019","0"
"3775",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",561,1003,NA,"R9","63 EAST 9TH STREET, 3W","",10003,0,0,0,"0","0",1955,2,"R9","07/31/2019","0"
"3778",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",561,1003,NA,"R9","63 EAST 9TH, 7U","",10003,0,0,0,"0","0",1955,2,"R9","05/16/2019","0"
"3779",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",561,1003,NA,"R9","63 EAST 9TH STREET, 10L","",10003,0,0,0,"0","0",1955,2,"R9","03/12/2019","0"
"3780",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",561,1003,NA,"R9","63 EAST 9TH, 8O","",10003,0,0,0,"0","0",1955,2,"R9","02/14/2019","0"
"3781",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",561,1003,NA,"R9","63 EAST 9TH STREET, 5D","",10003,0,0,0,"0","0",1955,2,"R9","11/01/2018","0"
"3782",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",561,1003,NA,"R9","63 EAST 9TH STREET, 10P","",10003,0,0,0,"0","0",1955,2,"R9","10/29/2018","0"
"3784",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",571,1002,NA,"R9","12 EAST 14TH STREET, 2C","",10003,0,0,0,"0","0",1980,2,"R9","06/03/2019","0"
"3785",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",573,1006,NA,"R9","69 WEST 9TH STREET, 1A","",10011,0,0,0,"0","0",1959,2,"R9","05/01/2019","0"
"3786",1,"GREENWICH VILLAGE-CENTRAL","17 CONDO COOPS","2",573,1006,NA,"R9","69 WEST 9TH STREET, 12B","",10011,0,0,0,"0","0",1959,2,"R9","12/03/2018","0"
"3787",1,"GREENWICH VILLAGE-CENTRAL","07 RENTALS - WALKUP APARTMENTS","2A",531,39,NA,"C3","356 BOWERY","",10012,4,0,4,"1,785","6,155",1910,2,"C3","01/31/2019","1"
"3788",1,"GREENWICH VILLAGE-CENTRAL","07 RENTALS - WALKUP APARTMENTS","2A",552,51,NA,"C3","114 WAVERLY PLACE","",10011,4,0,4,"2,138","4,974",1900,2,"C3","07/25/2019","1"
"3789",1,"GREENWICH VILLAGE-CENTRAL","07 RENTALS - WALKUP APARTMENTS","2A",567,13,NA,"C2","14 EAST 10TH STREET","",10003,6,0,6,"2,307","4,626",1910,2,"C2","04/24/2019","0"
"3790",1,"GREENWICH VILLAGE-CENTRAL","07 RENTALS - WALKUP APARTMENTS","2A",567,30,NA,"C2","9 EAST 9TH STREET","",10003,5,0,5,"2,307","4,081",1938,2,"C2","02/05/2019","0"
"3791",1,"GREENWICH VILLAGE-CENTRAL","14 RENTALS - 4-10 UNIT","2A",529,46,NA,"S4","9 BLEECKER STREET","",10012,4,1,5,"1,220","3,357",1910,2,"S4","12/21/2018","1"
"3792",1,"GREENWICH VILLAGE-CENTRAL","14 RENTALS - 4-10 UNIT","2A",542,58,NA,"S9","197 BLEECKER STREET","",10012,3,2,5,"2,016","4,038",1910,2,"S9","03/22/2019","0"
"3793",1,"GREENWICH VILLAGE-CENTRAL","07 RENTALS - WALKUP APARTMENTS","2B",573,50,NA,"C5","11 WEST 9TH","",10011,9,0,9,"1,630","3,872",1900,2,"C5","06/07/2019","1"
"3794",1,"GREENWICH VILLAGE-CENTRAL","09 COOPS - WALKUP APARTMENTS","2C",521,70,NA,"C6","302 ELIZABETH STREET, 4","",10012,0,0,0,"0","0",1900,2,"C6","06/19/2019","0"
"3795",1,"GREENWICH VILLAGE-CENTRAL","09 COOPS - WALKUP APARTMENTS","2C",552,148,NA,"C6","118 WAVERLY PLACE, 4A","",10011,0,0,0,"0","0",1900,2,"C6","08/21/2019","0"
"3796",1,"GREENWICH VILLAGE-CENTRAL","09 COOPS - WALKUP APARTMENTS","2C",552,148,NA,"C6","118 WAVERLY PLACE, 1B","",10011,0,0,0,"0","0",1900,2,"C6","02/06/2019","0"
"3798",1,"GREENWICH VILLAGE-CENTRAL","09 COOPS - WALKUP APARTMENTS","2C",567,31,NA,"C6","7 EAST 9TH STREET, 4","",10003,0,0,0,"0","0",1900,2,"C6","12/27/2018","1"
"3799",1,"GREENWICH VILLAGE-CENTRAL","09 COOPS - WALKUP APARTMENTS","2C",569,33,NA,"C6","21 EAST 11TH STREET, PLU","",10003,0,0,0,"0","0",1910,2,"C6","07/25/2019","0"
"3800",1,"GREENWICH VILLAGE-CENTRAL","09 COOPS - WALKUP APARTMENTS","2C",575,56,NA,"C6","11 WEST 11TH STREET, 2","",10011,0,0,0,"0","0",1900,2,"C6","04/29/2019","1"
"3801",1,"GREENWICH VILLAGE-CENTRAL","10 COOPS - ELEVATOR APARTMENTS","2C",530,10,NA,"D0","5 GREAT JONES STREET, 3FL","",10012,0,0,0,"0","0",1900,2,"D0","06/18/2019","1"
"3802",1,"GREENWICH VILLAGE-CENTRAL","10 COOPS - ELEVATOR APARTMENTS","2C",530,10,NA,"D0","5 GREAT JONES STREET, 3FL","",10012,0,0,0,"0","0",1900,2,"D0","06/18/2019","1"
"3803",1,"GREENWICH VILLAGE-CENTRAL","10 COOPS - ELEVATOR APARTMENTS","2C",530,28,NA,"D0","43 GREAT JONES STREET, 4","",10012,0,0,0,"0","0",1920,2,"D0","07/19/2019","0"
"3804",1,"GREENWICH VILLAGE-CENTRAL","10 COOPS - ELEVATOR APARTMENTS","2C",530,28,NA,"D0","43 GREAT JONES STREET, 4","",10012,0,0,0,"0","0",1920,2,"D0","07/19/2019","0"
"3807",1,"GREENWICH VILLAGE-CENTRAL","10 COOPS - ELEVATOR APARTMENTS","2C",552,64,NA,"D4","71 WASHINGTON PLACE, PH","",10011,0,0,0,"0","0",1900,2,"D4","05/24/2019","0"
"3808",1,"GREENWICH VILLAGE-CENTRAL","15 CONDOS - 2-10 UNIT RESIDENTIAL","2C",521,1403,NA,"R1","2 BLEECKER STREET","3",10012,0,0,0,"0","1,862",1910,2,"R1","11/09/2018","1"
"3810",1,"GREENWICH VILLAGE-CENTRAL","15 CONDOS - 2-10 UNIT RESIDENTIAL","2C",526,1205,NA,"R1","178 BLEECKER STREET","4F",10012,0,0,0,"0","1,118",2014,2,"R1","10/05/2018","0"
"3811",1,"GREENWICH VILLAGE-CENTRAL","15 CONDOS - 2-10 UNIT RESIDENTIAL","2C",529,2001,NA,"R1","41 BOND STREET, 1","1",10012,0,0,0,"0","3,381",2010,2,"R1","05/31/2019","1"
"3812",1,"GREENWICH VILLAGE-CENTRAL","15 CONDOS - 2-10 UNIT RESIDENTIAL","2C",530,1604,NA,"R1","54 BOND STREET, UNIT2","UNIT2",10012,0,0,0,"0","2,274",1920,2,"R1","06/20/2019","1"
"3813",1,"GREENWICH VILLAGE-CENTRAL","15 CONDOS - 2-10 UNIT RESIDENTIAL","2C",530,1604,NA,"R1","54 BOND STREET, UNIT2","UNIT2",10012,0,0,0,"0","2,274",1920,2,"R1","06/20/2019","1"
"3814",1,"GREENWICH VILLAGE-CENTRAL","15 CONDOS - 2-10 UNIT RESIDENTIAL","2C",545,1404,NA,"R1","738 BROADWAY, 4","4",10003,0,0,0,"0","3,188",1900,2,"R1","01/31/2019","1"
"3815",1,"GREENWICH VILLAGE-CENTRAL","15 CONDOS - 2-10 UNIT RESIDENTIAL","2C",553,1104,NA,"R1","171-173 MACDOUGAL STREET, 3W","3W",10011,0,0,0,"0","2,322",1900,2,"R1","06/26/2019","1"
"3816",1,"GREENWICH VILLAGE-CENTRAL","15 CONDOS - 2-10 UNIT RESIDENTIAL","2C",563,1106,NA,"R1","42 EAST 12TH STREET, 7","7",10003,0,0,0,"0","1,680",0,2,"R1","09/18/2019","1"
"3817",1,"GREENWICH VILLAGE-CENTRAL","15 CONDOS - 2-10 UNIT RESIDENTIAL","2C",570,1304,NA,"R1","17 EAST 12TH STREET, 5","5",10003,0,0,0,"0","4,514",1929,2,"R1","06/24/2019","1"
"3818",1,"GREENWICH VILLAGE-CENTRAL","15 CONDOS - 2-10 UNIT RESIDENTIAL","2C",570,1304,NA,"R1","17 EAST 12TH STREET, 5","5",10003,0,0,0,"0","4,514",1929,2,"R1","06/24/2019","1"
"3819",1,"GREENWICH VILLAGE-CENTRAL","15 CONDOS - 2-10 UNIT RESIDENTIAL","2C",570,1305,NA,"R1","17 EAST 12TH STREET, 6","6",10003,0,0,0,"0","4,514",1929,2,"R1","06/13/2019","1"
"3820",1,"GREENWICH VILLAGE-CENTRAL","15 CONDOS - 2-10 UNIT RESIDENTIAL","2C",570,1305,NA,"R1","17 EAST 12TH STREET, 6","6",10003,0,0,0,"0","4,514",1929,2,"R1","06/13/2019","1"
"3821",1,"GREENWICH VILLAGE-CENTRAL","15 CONDOS - 2-10 UNIT RESIDENTIAL","2C",577,1204,NA,"R1","3 WEST 13TH STREET, 4","4",10011,0,0,0,"0","1,417",0,2,"R1","06/24/2019","1"
"3822",1,"GREENWICH VILLAGE-CENTRAL","16 CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT","2C",545,1401,NA,"R8","738 BROADWAY, 1","1",10003,0,0,0,"0","5,547",1900,2,"R8","03/15/2019","1"
"3823",1,"GREENWICH VILLAGE-CENTRAL","16 CONDOS - 2-10 UNIT WITH COMMERCIAL UNIT","2C",559,1001,NA,"R8","137 EAST 13TH STREET","1A",10016,0,0,0,"0","2,649",2005,2,"R8","10/01/2018","0"
"3824",1,"GREENWICH VILLAGE-CENTRAL","21 OFFICE BUILDINGS","4",530,1,NA,"O5","670 BROADWAY","",10012,0,3,3,"11,137","66,905",1900,4,"O5","01/25/2019","1"
"3825",1,"GREENWICH VILLAGE-CENTRAL","21 OFFICE BUILDINGS","4",530,1,NA,"O5","670 BROADWAY","",10012,0,3,3,"11,137","66,905",1900,4,"O5","01/25/2019","1"
"3826",1,"GREENWICH VILLAGE-CENTRAL","21 OFFICE BUILDINGS","4",562,24,NA,"O5","799 BROADWAY","",10003,0,180,180,"19,575","97,500",0,4,"O5","10/03/2018","1"
"3827",1,"GREENWICH VILLAGE-CENTRAL","21 OFFICE BUILDINGS","4",568,21,NA,"O5","64 UNIVERSITY PLACE","",10003,0,2,2,"6,525","25,325",1900,4,"O5","06/27/2019","1"
"3828",1,"GREENWICH VILLAGE-CENTRAL","22 STORE BUILDINGS","4",543,57,NA,"K4","131 MACDOUGAL ST","",10012,2,2,4,"1,282","3,188",1900,4,"K4","02/25/2019","0"
"3829",1,"GREENWICH VILLAGE-CENTRAL","22 STORE BUILDINGS","4",553,26,NA,"K4","177 MAC DOUGAL STREET","",10011,5,2,7,"2,507","9,834",1900,4,"K4","10/11/2018","0"
"3830",1,"GREENWICH VILLAGE-CENTRAL","22 STORE BUILDINGS","4",555,40,NA,"K4","109 EAST 9TH STREET","",10003,3,1,4,"2,070","8,462",1900,4,"K4","08/29/2019","0"
"3831",1,"GREENWICH VILLAGE-CENTRAL","28 COMMERCIAL CONDOS","4",570,1401,NA,"R5","34 EAST 13TH STREET, COMME","COMME",10003,0,0,0,"0","2,652",2016,4,"R5","02/05/2019","0"
"3832",1,"GREENWICH VILLAGE-CENTRAL","28 COMMERCIAL CONDOS","4",570,1401,NA,"R5","34 EAST 13TH STREET, COMME","COMME",10003,0,0,0,"0","2,652",2016,4,"R5","02/05/2019","0"
"3833",1,"GREENWICH VILLAGE-CENTRAL","29 COMMERCIAL GARAGES","4",544,5,NA,"G1","403 LAFAYETTE STREET","",10003,0,1,1,"11,985","33,996",1931,4,"G1","07/19/2019","0"
"3834",1,"GREENWICH VILLAGE-CENTRAL","38 ASYLUMS AND HOMES","4",529,15,NA,"N2","348 LAFAYETTE STREET","",10012,0,1,1,"3,260","14,925",1913,4,"N2","10/01/2018","0"
"3835",1,"GREENWICH VILLAGE-CENTRAL","43 CONDO OFFICE BUILDINGS","4",562,1007,NA,"RB","29 EAST 10TH STREET, 7","7",10003,0,0,0,"0","1,799",1900,4,"RB","09/12/2019","1"
"3836",1,"GREENWICH VILLAGE-CENTRAL","43 CONDO OFFICE BUILDINGS","4",562,1008,NA,"RB","29 EAST 10TH STREET, 8","",10003,0,0,0,"0","1,845",1900,4,"RB","09/12/2019","1"
"3837",1,"GREENWICH VILLAGE-CENTRAL","46 CONDO STORE BUILDINGS","4",525,1001,NA,"RK","160 BLEECKER STREET, 3GW","1",10012,0,0,0,"0","27,626",1910,4,"RK","07/03/2019","0"
"3838",1,"GREENWICH VILLAGE-CENTRAL","46 CONDO STORE BUILDINGS","4",540,1001,NA,"RK","173 BLEECKER STREET, A","A",10012,0,0,0,"0","663",1900,4,"RK","05/15/2019","1"
"3839",1,"GREENWICH VILLAGE-CENTRAL","46 CONDO STORE BUILDINGS","4",540,1002,NA,"RK","173 BLEECKER STREET, B","B",10012,0,0,0,"0","336",1887,4,"RK","05/15/2019","1"
"3840",1,"GREENWICH VILLAGE-CENTRAL","46 CONDO STORE BUILDINGS","4",540,1003,NA,"RK","173 BLEECKER STREET, B1","B1",10012,0,0,0,"0","744",1887,4,"RK","05/15/2019","1"
"3841",1,"GREENWICH VILLAGE-CENTRAL","46 CONDO STORE BUILDINGS","4",562,1001,NA,"RK","29 EAST 10TH STREET, 1","1",10003,0,0,0,"0","1,799",1900,4,"RK","09/18/2019","0"
"3842",1,"GREENWICH VILLAGE-CENTRAL","47 CONDO NON-BUSINESS STORAGE","4",570,1408,NA,"RS","34 EAST 13TH STREET, 2","2",10003,0,0,0,"0","43",2016,4,"RS","06/27/2019","1"
"3845",1,"GREENWICH VILLAGE-CENTRAL","47 CONDO NON-BUSINESS STORAGE","4",570,1409,NA,"RS","34 EAST 13TH STREET, 3","3",10003,0,0,0,"0","43",2016,4,"RS","06/03/2019","1"
"3846",1,"GREENWICH VILLAGE-CENTRAL","47 CONDO NON-BUSINESS STORAGE","4",570,1410,NA,"RS","34 EAST 13TH STREET, 4","4",10003,0,0,0,"0","43",2016,4,"RS","01/14/2019","1"
"3847",1,"GREENWICH VILLAGE-CENTRAL","47 CONDO NON-BUSINESS STORAGE","4",570,1410,NA,"RS","34 EAST 13TH STREET, 4","4",10003,0,0,0,"0","43",2016,4,"RS","01/14/2019","1"
"3850",1,"GREENWICH VILLAGE-WEST","13 CONDOS - ELEVATOR APARTMENTS","",602,1207,NA,"","90 MORTON STREET, 3A","",0,0,0,0,"0","0",0,2,"R4","06/28/2019","1"
"3851",1,"GREENWICH VILLAGE-WEST","13 CONDOS - ELEVATOR APARTMENTS","",602,1224,NA,"","90 MORTON STREET, 7A","",0,0,0,0,"0","0",0,2,"R4","06/28/2019","1"
"3852",1,"GREENWICH VILLAGE-WEST","13 CONDOS - ELEVATOR APARTMENTS","",602,1226,NA,"","90 MORTON STREET, 7D","",0,0,0,0,"0","0",0,2,"R4","07/12/2019","1"
"3853",1,"GREENWICH VILLAGE-WEST","13 CONDOS - ELEVATOR APARTMENTS","",602,1227,NA,"","90 MORTON STREET, 8A","",0,0,0,0,"0","0",0,2,"R4","06/28/2019","1"
"3855",1,"GREENWICH VILLAGE-WEST","13 CONDOS - ELEVATOR APARTMENTS","",602,1229,NA,"","90 MORTON STREET, 8D","",0,0,0,0,"0","0",0,2,"R4","09/04/2019","1"
"3856",1,"GREENWICH VILLAGE-WEST","13 CONDOS - ELEVATOR APARTMENTS","",602,1231,NA,"","90 MORTON STREET, PH9B","",0,0,0,0,"0","0",0,2,"R4","06/28/2019","1"
"3857",1,"GREENWICH VILLAGE-WEST","13 CONDOS - ELEVATOR APARTMENTS","",602,1232,NA,"","90 MORTON STREET, PH10A","",0,0,0,0,"0","0",0,2,"R4","06/28/2019","1"
"3858",1,"GREENWICH VILLAGE-WEST","01 ONE FAMILY DWELLINGS","1",586,55,NA,"S1","16 MORTON STREET","",10014,1,1,2,"2,250","5,662",1905,1,"S1","03/25/2019","1"
"3860",1,"GREENWICH VILLAGE-WEST","01 ONE FAMILY DWELLINGS","1",587,49,NA,"A4","51 BARROW STREET","",10014,1,0,1,"800","1,045",1899,1,"A4","07/22/2019","0"
"3861",1,"GREENWICH VILLAGE-WEST","01 ONE FAMILY DWELLINGS","1",587,55,NA,"A9","39 BARROW STREET","",10014,1,0,1,"980","2,256",1910,1,"A9","11/15/2018","1"
"3862",1,"GREENWICH VILLAGE-WEST","01 ONE FAMILY DWELLINGS","1",587,65,NA,"A4","15 COMMERCE STREET","",10014,1,0,1,"840","1,638",1899,1,"A4","06/26/2019","1"
"3863",1,"GREENWICH VILLAGE-WEST","01 ONE FAMILY DWELLINGS","1",590,42,NA,"A5","23 CORNELIA STREET","",10014,1,0,1,"2,056","3,357",1899,1,"A5","02/05/2019","1"
"3864",1,"GREENWICH VILLAGE-WEST","01 ONE FAMILY DWELLINGS","1",592,60,NA,"A7","146 WAVERLY PLACE","",10014,1,0,1,"2,158","6,118",1905,1,"A7","06/28/2019","1"
"3865",1,"GREENWICH VILLAGE-WEST","01 ONE FAMILY DWELLINGS","1",593,41,NA,"S1","22 CHRISTOPHER STREET","",10014,1,1,2,"1,235","2,739",1910,1,"S1","01/21/2019","1"
"3866",1,"GREENWICH VILLAGE-WEST","01 ONE FAMILY DWELLINGS","1",602,77,NA,"A4","121 LEROY STREET","",10014,1,0,1,"1,738","4,602",2017,1,"A4","06/27/2019","1"
"3867",1,"GREENWICH VILLAGE-WEST","01 ONE FAMILY DWELLINGS","1",602,77,NA,"A4","121 LEROY STREET","",10014,1,0,1,"1,738","4,602",2017,1,"A4","06/27/2019","1"
"3868",1,"GREENWICH VILLAGE-WEST","01 ONE FAMILY DWELLINGS","1",607,50,NA,"A4","109 WEST 11TH STREET","",10011,1,0,1,"1,665","4,060",1899,1,"A4","05/22/2019","1"
"3869",1,"GREENWICH VILLAGE-WEST","01 ONE FAMILY DWELLINGS","1",607,56,NA,"S1","121 WEST 11TH STREET","",10011,1,1,2,"2,168","4,704",1899,1,"S1","10/25/2018","1"
